STATE/UT,YEAR,POPULATION,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,Crimes Against Women,TOTAL IPC CRIMES,LITERACY RATE,AREA (in sq. km),CRIMES AGAINST CHILDREN,JUVENILES APPREHENDED,POLICEMEN KILLED,THEFT CASES REPOERTED,THEFT VALUE TOTAL,TOTAL  Dacoity,TOTAL  Robbery,TOTAL  Burglary,TOTAL  Theft,Total Petty Crime,Human Rights Violation Cases,Policemen Chargesheeted,Polimen Charged
WEST BENGAL,2002,81247274,1444,413,540,759,0,759,831,694,137,204,646,544,348,12449,2458,9991,2461,451,1315,98,114,3112,273,964,34,4069,1,2703,25189,4,12,6794,58962,69.22,88752,471.8295796,14,27,13545,334311396,204,544,348,12449,13545,0,0,0
A & N ISLANDS,2002,372096,17,3,1,2,0,2,2,1,1,1,0,7,49,49,2,47,11,4,11,0,2,97,0,17,3,4,0,0,328,0,1,27,608,81.42,8249,308.3353656,1872.146709,0,106,1225426,1,7,49,49,106,3.093580102,15.610431,7.990175049
CHANDIGARH,2002,921594,31,35,7,18,0,18,54,47,7,1,1,26,336,1647,617,1030,78,35,181,5,5,107,1,36,28,56,0,7,1111,0,0,186,3806,82.17,114,50.26522055,70,2,2010,70225405,1,26,336,1647,2010,0,0,0
D & N HAVELI,2002,223867,11,2,0,4,0,4,9,5,4,3,0,1,38,75,38,37,5,12,10,0,2,29,0,3,0,3,0,0,142,0,0,15,349,60.13,491,-88.42292717,0,0,13355.30935,54500418.46,3,1,38,75,117,3.022017937,0.450158383,-0.147320599
DAMAN & DIU,2002,161035,8,3,0,0,0,0,3,2,1,2,0,1,56,56,35,21,16,5,10,0,2,18,0,0,0,3,0,0,78,0,0,5,261,80.68,112,-84.11975561,0,0,-14932.69065,-197275889.2,2,1,56,56,115,0,0,0
LAKSHADWEEP,2002,61720,0,0,0,1,0,1,0,0,0,0,0,0,9,12,0,12,18,0,0,0,2,5,0,1,0,0,0,0,5,1,0,2,53,86.89,32,-84.13207198,0,0,-16260.69065,-208840977.2,0,0,9,12,21,2.688478646,-0.601946118,0.509616325
PUDUCHERRY,2002,988996,29,43,2,6,0,6,10,6,4,2,0,6,129,526,258,268,193,11,31,3,22,1093,5,59,26,9,0,190,2042,18,0,111,4437,81.43,479,-18.27838057,16,1,663,11230516,2,6,129,526,663,2.165417419,-0.669605009,0.233154319
ANDHRA PRADESH,2003,79247829,2667,1678,147,946,0,946,1485,931,554,176,5,660,9050,23408,4521,18887,2328,1099,7581,318,1049,41545,466,4128,2286,8167,5,8515,39242,3559,571,16929,156951,64.84,275045,1483.243481,1842,51,35115.30935,1131701036,176,660,9050,23408,33294,22,10,0
ARUNACHAL PRADESH,2003,1140586,77,20,3,31,0,31,68,51,17,37,0,60,253,370,50,320,7,28,21,7,10,427,0,43,0,14,0,0,585,0,66,139,2061,59.54,83743,-54.64362998,196,0,38187.30935,276156353,37,60,253,370,720,7,0,0
ASSAM,2003,27348680,1191,485,48,1095,0,1095,1628,1351,277,471,26,523,2606,5525,406,5119,3340,611,894,58,677,4952,60,878,6,1808,0,2086,9227,67,20,5198,38195,69.92,78438,-52.50030583,378,2,9125,150441676,471,523,2606,5525,9125,0,0,0
BIHAR,2003,85377870,3771,3540,298,985,0,985,2427,674,1753,1221,120,2463,2986,10124,1357,8767,8029,1105,1947,92,669,8884,909,688,11,1880,37,2574,37503,1747,52,5184,92263,52.33,94163,54.98143743,265,28,35115.30935,838912598.7,1221,2463,2986,10124,16794,3,0,0
CHHATTISGARH,2003,21362393,776,513,51,898,0,898,177,149,28,140,14,331,3621,4170,922,3248,703,76,412,24,151,3653,79,1481,105,601,0,1158,19315,709,774,3313,38449,68.17,135191,384.0247265,1439,27,51499.30935,568184109.5,140,331,3621,4170,8262,7,0,7
GOA,2003,1394730,34,25,6,31,0,31,14,13,1,5,0,21,257,464,132,332,47,60,106,3,18,198,2,19,7,24,0,164,739,2,0,96,2244,82.58,3702,-4.007536966,84,0,747,25719702,5,21,257,464,747,2.311829193,-0.647052193,0.291997628
GUJARAT,2003,51888689,1114,478,29,236,0,236,1044,859,185,338,14,1267,5844,19304,7201,12103,1824,1873,1975,275,516,12611,54,722,92,3684,0,3536,46879,1165,241,5647,103709,72.79,196024,1311.802197,1750,64,26753,808802703,338,1267,5844,19304,26753,16,6,0
HARYANA,2003,21968240,702,446,76,353,0,353,388,271,117,63,190,281,2981,5591,3079,2512,639,586,900,30,122,4153,222,344,1302,1618,0,971,16654,195,0,4110,38612,69.7,44212,536.5339856,1451,29,8916,369239622,63,281,2981,5591,8916,3,0,0
