STATE/UT,YEAR,STATE AND YEAR,POPULATION,LITERACY RATE,AREA (in sq. km),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,CRIMES AGAINST CHILDREN,JUVENILES APPREHENDED,POLICEMEN KILLED,THEFT CASES REPOERTED,THEFT VALUE TOTAL,TOTAL  Dacoity,TOTAL  Robbery,TOTAL  Burglary,TOTAL  Theft,Total Petty Crime,Human Rights Violation Cases,Policemen Chargesheeted,Polimen Charged,Crimes Against Women,TOTAL IPC CRIMES
WEST BENGAL,2011,WEST BENGAL2011,90251375,76.26,88752,2109,2242,486,2363,0,2363,4285,3711,574,236,939,760,455,21446,4642,16804,6019,1264,4171,207,413,13094,510,2363,200,19772,0,3249,56614,59,41,1450,,,,,236,760,455,21446,22897,,,,28919,143197
A & N ISLANDS,2011,A & N ISLANDS2011,530089,86.05,8249,14,6,2,13,0,13,15,12,3,1,0,1,99,88,4,84,11,3,32,0,6,81,0,15,3,5,0,6,392,0,7,31,,,,,1,1,99,88,189,,,,48,793
CHANDIGARH,2011,CHANDIGARH2011,1121291,86.05,114,24,40,6,27,0,27,58,46,12,6,2,68,285,1502,915,587,66,25,255,0,9,45,2,21,12,46,0,7,1036,1,0,74,,,,,6,68,285,1502,1861,,,,154,3542
D & N HAVELI,2011,D & N HAVELI2011,255522,76.24,491,14,2,0,4,0,4,9,8,1,7,0,2,22,69,43,26,20,10,18,2,5,25,0,2,0,3,0,24,134,1,2,11,,,,,7,2,22,69,100,,,,17,372
DAMAN & DIU,2011,DAMAN & DIU2011,188618,87.1,112,6,1,0,1,0,1,3,2,1,4,0,6,31,47,33,14,19,3,10,2,0,11,0,0,0,2,0,43,35,0,0,3,,,,,4,6,31,47,88,,,,5,224
LAKSHADWEEP,2011,LAKSHADWEEP2011,73112,91.85,32,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,1,0,0,3,3,0,0,0,0,0,0,27,0,0,0,,,,,0,0,0,4,4,,,,0,44
PUDUCHERRY,2011,PUDUCHERRY2011,1131886,87.02,479,32,22,12,7,0,7,12,9,3,5,10,11,65,707,511,196,125,9,54,4,10,853,1,35,16,10,0,243,2119,18,0,15,,,,,5,11,65,707,788,,,,78,4362
ANDHRA PRADESH,2012,ANDHRA PRADESH2012,93556426,,,2717,2183,158,1341,0,1341,1870,1403,467,131,1,668,8442,27475,8036,19439,1878,1271,11002,260,980,56768,504,4816,3714,13389,0,13929,39025,3057,666,2274,,,,,131,668,8442,27475,36716,,,,25167,192522
ARUNACHAL PRADESH,2012,ARUNACHAL PRADESH2012,1349955,,,73,29,1,46,0,46,82,58,24,20,0,65,215,402,95,307,28,55,85,1,33,438,1,67,2,26,0,94,657,0,10,39,,,702,55525053,20,65,215,402,702,,,,200,2420
ASSAM,2012,ASSAM2012,30626470,,,1368,670,54,1716,0,1716,3812,3360,452,266,7,907,3825,9394,2720,6674,5077,1278,1705,61,2830,6676,140,1840,5,6407,2,2565,27077,4,0,392,,,,,266,907,3825,9394,14392,,,,13470,77682
BIHAR,2012,BIHAR2012,96490282,,,3566,5452,285,927,0,927,4807,3789,1018,540,54,1266,3758,17667,6404,11263,10871,1650,3933,40,799,45827,1275,118,37,3686,4,4631,35421,4821,119,2894,,,23231,706884978,540,1266,3758,17667,23231,,,,9836,146614
CHHATTISGARH,2012,CHHATTISGARH2012,24431400,,,998,593,26,1034,0,1034,450,350,100,64,4,412,3334,5341,2358,2983,910,170,925,53,330,10855,81,1601,162,980,0,2888,23387,262,344,1881,,,9151,404517643,64,412,3334,5341,9151,,,,4208,54598
GOA,2012,GOA2012,1633033,,,45,35,3,55,0,55,24,16,8,6,0,25,356,915,300,615,122,64,205,16,34,266,0,49,16,24,0,233,1115,10,1,122,,,,,6,25,356,915,1302,,,,160,3608
GUJARAT,2012,GUJARAT2012,57731543,,,1126,557,43,473,0,473,1720,1527,193,287,19,1366,4695,15952,9057,6895,1758,1240,1361,216,282,10234,21,745,93,6658,0,5573,75702,1028,221,1327,,,22300,1990981157,287,1366,4695,15952,22300,,,,9517,130121
HARYANA,2012,HARYANA2012,26010282,,,991,910,68,668,0,668,1349,900,449,204,176,711,5129,17590,12979,4611,1424,740,1798,20,191,3277,258,525,434,3137,0,1484,21396,252,0,1015,,,23634,1248049208,204,711,5129,17590,23634,,,,5922,62480
HIMACHAL PRADESH,2012,HIMACHAL PRADESH2012,7298240,,,113,53,9,183,0,183,172,152,20,1,0,10,928,769,265,504,494,137,373,1,131,1173,2,250,68,251,0,562,6877,129,3,266,,,1708,183466034,1,10,928,769,1708,,,,906,12557
JAMMU & KASHMIR,2012,JAMMU & KASHMIR2012,11726464,,,124,511,16,303,0,303,1093,1041,52,6,0,81,1395,2022,557,1465,1400,163,612,17,190,322,8,1322,347,301,0,371,14004,2,0,40,,,3504,213931063,6,81,1395,2022,3504,,,,3322,24608
JHARKHAND,2012,JHARKHAND2012,31565703,,,1694,842,92,812,0,812,1056,786,270,284,33,494,1216,6680,2215,4465,2331,639,1566,14,136,4785,302,284,10,1261,3,1594,14818,696,287,113,,,8674,267801586,284,494,1216,6680,8674,,,,3458,40946
KARNATAKA,2012,KARNATAKA2012,64017056,,,1860,1923,71,621,0,621,1451,1070,381,211,536,2207,5792,18418,8886,9532,7502,401,5822,84,416,20350,218,2978,100,3684,32,876,58468,2605,374,875,,,26628,2117307630,211,2207,5792,18418,26628,,,,8703,134021
KERALA,2012,KERALA2012,34430444,,,374,497,107,1019,0,1019,281,214,67,72,289,725,2710,4078,1262,2816,10938,301,4681,68,568,21170,32,3735,498,5216,0,48,101582,810,124,1324,,,7585,554605620,72,725,2710,4078,7585,,,,10714,158989
MADHYA PRADESH,2012,MADHYA PRADESH2012,71677391,,,2373,2332,114,3425,0,3425,1302,1127,175,107,127,1940,10019,23182,12279,10903,1951,576,2021,31,814,35549,743,6655,774,3988,6,7721,114585,2875,1218,5168,,,,,107,1940,10019,23182,35248,,,,16718,220335
MAHARASHTRA,2012,MAHARASHTRA2012,114211021,,,2712,2168,171,1839,0,1839,1583,1140,443,793,322,6949,15648,47476,17855,29621,8860,1900,9398,291,1246,28392,329,3935,1294,7415,0,13311,46668,1091,308,3456,,,,,793,6949,15648,47476,70866,,,,15952,202700
MANIPUR,2012,MANIPUR2012,2849347,,,83,409,4,63,0,63,223,133,90,8,171,3,53,903,736,167,72,67,136,2,74,285,0,49,1,43,0,2,1086,0,2,104,,,967,74142240,8,3,53,903,967,,,,289,3737
MEGHALAYA,2012,MEGHALAYA2012,2745726,,,137,63,8,164,0,164,92,24,68,52,1,46,145,543,152,391,0,44,108,13,61,157,1,43,0,16,0,102,761,0,0,91,,,786,82235761,52,46,145,543,786,,,,248,2557
MIZORAM,2012,MIZORAM2012,1002844,,,30,21,7,103,0,103,8,3,5,2,0,4,347,605,24,581,1,12,42,6,12,103,0,85,0,8,0,34,336,0,0,95,,,958,66226072,2,4,347,605,958,,,,199,1766
NAGALAND,2012,NAGALAND2012,2368252,,,75,42,6,21,0,21,27,10,17,1,0,54,65,381,65,316,3,22,39,4,7,30,0,16,0,0,0,31,266,0,0,13,,,501,91378454,1,54,65,381,501,,,,47,1090
ODISHA,2012,ODISHA2012,44459384,,,1548,1879,54,1458,0,1458,1542,1364,178,402,99,1613,3430,9630,3210,6420,2205,317,1607,19,469,8223,525,4187,304,2638,0,3605,22203,2265,688,418,,,15075,1291015472,402,1613,3430,9630,15075,,,,10476,67957
PUNJAB,2012,PUNJAB2012,28379180,,,855,1045,104,680,1,679,919,689,230,48,184,213,2828,5272,2011,3261,1,289,3451,49,74,4186,118,340,31,1293,0,3405,10405,71,0,877,,,8361,753164978,48,213,2828,5272,8361,,,,3151,35790
RAJASTHAN,2012,RAJASTHAN2012,65494555,,,1461,1538,98,2049,0,2049,3243,2697,546,31,74,807,4610,23314,14107,9207,573,682,19646,49,475,17614,478,2352,18,13312,0,8284,70240,5559,1351,1807,,,28762,1900879015,31,807,4610,23314,28762,,,,20906,170948
SIKKIM,2012,SIKKIM2012,644932,,,7,7,0,34,0,34,10,10,0,0,0,6,65,117,17,100,22,3,31,1,20,91,1,19,0,4,0,32,58,5,4,30,,,188,9583910,0,6,65,117,188,,,,68,528
TAMIL NADU,2012,TAMIL NADU2012,75118424,,,1949,2954,44,737,0,737,1945,1693,252,97,19,1898,4457,11996,3915,8081,3136,262,4151,377,726,22100,110,1494,382,1965,0,15499,124176,1647,27,1036,,,18448,1290410413,97,1898,4457,11996,18448,,,,6381,200474
TRIPURA,2012,TRIPURA2012,3675296,,,124,79,2,229,0,229,139,114,25,7,0,60,239,565,140,425,128,47,105,9,59,1504,37,314,7,858,0,10,1742,76,29,20,,,,,7,60,239,565,871,,,,1559,6264
UTTAR PRADESH,2012,UTTAR PRADESH2012,205888020,,,4966,4811,1410,1963,0,1963,8878,7910,968,322,68,3159,6187,37376,22773,14603,5676,3638,10713,205,327,12290,2244,3247,8,7661,0,14406,68538,6202,44,6033,,,47044,2152334509,322,3159,6187,37376,47044,,,,23033,198093
UTTARAKHAND,2012,UTTARAKHAND2012,9501846,,,217,161,44,148,0,148,297,256,41,29,3,144,391,1913,949,964,369,137,529,22,17,1022,71,139,73,368,0,670,2118,33,3,122,,,2477,193728474,29,144,391,1913,2477,,,,1055,8882
WEST BENGAL,2012,WEST BENGAL2012,91193022,,,2252,2854,522,2046,0,2046,5117,4168,949,279,875,816,464,22991,5158,17833,6611,1391,5300,352,396,15923,593,3345,556,19865,12,4385,64482,85,91,1706,,,,,279,816,464,22991,24550,,,,30585,161427
A & N ISLANDS,2012,A & N ISLANDS2012,549368,86.63,,15,3,0,12,0,12,8,7,1,5,0,2,71,71,0,71,8,5,31,1,4,62,2,17,4,5,0,6,351,0,4,28,,,149,10824524,5,2,71,71,149,,,,47,683
CHANDIGARH,2012,CHANDIGARH2012,1144839,86.05,,21,44,5,27,0,27,87,66,21,3,9,63,235,1549,894,655,49,34,234,2,9,42,5,45,25,73,0,3,1042,2,0,96,,,1850,83472950,3,63,235,1549,1850,,,,241,3606
D & N HAVELI,2012,D & N HAVELI2012,259148,,,7,2,0,3,0,3,13,9,4,2,0,2,22,68,36,32,11,10,4,0,12,25,0,2,0,0,0,23,112,0,4,8,,,94,13834365,2,2,22,68,94,,,,14,318
DAMAN & DIU,2012,DAMAN & DIU2012,191924,,,3,5,0,5,0,5,3,0,3,1,0,3,26,55,42,13,9,6,8,0,11,17,0,0,0,3,0,38,46,0,0,8,,,85,15287800,1,3,26,55,85,,,,8,239
LAKSHADWEEP,2012,LAKSHADWEEP2012,74578,,,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,6,10,0,0,0,3,3,0,1,0,1,0,0,32,0,0,0,,,10,279975,0,0,3,7,10,,,,2,60
PUDUCHERRY,2012,PUDUCHERRY2012,1148900,,,29,27,12,13,0,13,19,16,3,5,15,16,77,658,462,196,126,9,90,6,21,818,0,9,2,6,0,263,2060,24,0,32,,,756,39238036,5,16,77,658,756,,,,46,4281
